gate,window_s,backend,calibration_status,selected_policy,rank,winner,polarity,calibration_auroc,gate_false_alerts_per_min_ucb,gate_false_alert_time_ratio_ucb,target_recall,target_ttfd_s,target_f1,target_alert_flicker,threshold,t_on,t_off,persistence_windows,validation_auroc,validation_precision,validation_recall,validation_f1,validation_false_alerts_per_min,validation_false_alert_time_ratio,validation_ttfd_s,validation_flicker,test_auroc,test_precision,test_recall,test_f1,test_false_alerts_per_min,test_false_alert_time_ratio,test_ttfd_s,test_flicker
strict,1,videomae,selected,strict,1,True,low,0.54835,0.1,0.006667,0.108273,14.547433,0.1875,5.16129,0.98,0.98,0.88,3,0.533332,0.686636,0.099201,0.173357,0.200267,0.045394,15.279369,5.529954,0.569573,0.761702,0.119572,0.206697,0.319361,0.037259,15.416183,4.595745
strict,1,f3net,selected,strict,2,False,high,0.516392,0.1,0.016667,0.1799,12.471404,0.273072,7.237762,0.81,0.81,0.71,3,0.519515,0.551786,0.205726,0.299709,0.921228,0.167557,11.715679,7.5,0.539355,0.658887,0.245157,0.357352,0.798403,0.126414,11.944878,5.816876
strict,1,efficientnet_b4,selected,strict,3,False,low,0.534512,0.1,0.008333,0.092171,14.932635,0.161009,5.747126,0.91,0.91,0.81,3,0.519435,0.688525,0.083888,0.149555,0.320427,0.038051,15.54525,7.213115,0.554629,0.644986,0.158985,0.255091,0.359281,0.087159,14.215024,4.552846
strict,1,i3d,selected,strict,4,False,low,0.523211,0.1,0.025,0.012215,16.96725,0.023887,11.707317,0.45,0.45,0.35,3,0.506952,0.536585,0.014647,0.028516,0.12016,0.012684,17.392286,11.707317,0.549829,0.210526,0.002672,0.005277,0.07984,0.00998,18.249622,12.631579
strict,1,effort_clip_l14,selected,strict,5,False,low,0.504659,0.1,0.03,0.039423,16.472462,0.074816,4.948454,0.9,0.9,0.8,3,0.476453,0.404959,0.032623,0.060382,0.160214,0.048064,16.960405,4.958678,0.482432,0.263393,0.039412,0.068565,0.479042,0.10978,17.070305,7.5
strict,1,xception_df40,selected,strict,6,False,low,0.517418,0.1,0.015,0.006108,17.065048,0.011996,10.909091,0.98,0.98,0.88,2,0.467627,0.8,0.010652,0.021025,0.040053,0.00267,17.473595,18.0,0.493191,0.7,0.009352,0.018457,0.03992,0.003992,18.127671,6.0
strict,5,videomae,selected,strict,1,True,low,0.553333,0.1,0.041667,0.325,10.756231,0.439024,2.913295,0.73,0.73,0.63,3,0.534979,0.6,0.298013,0.39823,0.885906,0.201342,11.97069,3.28,0.572781,0.541126,0.409836,0.466418,0.894915,0.359322,10.380878,2.181818
strict,5,f3net,selected,strict,2,False,high,0.524506,0.1,0.025,0.283333,11.343183,0.397661,3.294118,0.68,0.68,0.63,3,0.525839,0.595745,0.278146,0.379233,0.765101,0.191275,11.839179,3.914894,0.541851,0.722973,0.35082,0.472406,0.610169,0.138983,11.187,2.351351
strict,5,efficientnet_b4,selected,strict,3,False,low,0.535432,0.1,0.041667,0.102778,15.214625,0.178313,2.836364,0.85,0.85,0.75,3,0.520379,0.795455,0.115894,0.202312,0.161074,0.030201,15.4645,4.090909,0.552253,0.66129,0.268852,0.382284,0.610169,0.142373,12.642988,3.290323
strict,5,i3d,selected,strict,4,False,low,0.527035,0.1,0.025,0.155556,14.368106,0.261682,2.470588,0.39,0.39,0.29,3,0.493999,0.444444,0.013245,0.025723,0.040268,0.016779,17.599524,5.333333,0.551442,0.472222,0.055738,0.099707,0.284746,0.064407,17.149512,2.0
strict,5,effort_clip_l14,selected,strict,5,False,low,0.502337,0.1,0.025,0.047222,16.297365,0.089005,4.363636,0.79,0.79,0.79,2,0.47551,0.526316,0.066225,0.117647,0.241611,0.060403,16.289202,4.105263,0.478055,0.295455,0.042623,0.074499,0.447458,0.105085,17.212512,7.090909
strict,5,xception_df40,selected,strict,6,False,low,0.520123,0.1,0.025,0.088889,15.306087,0.153477,5.052632,0.74,0.74,0.74,3,0.462609,0.75,0.07947,0.143713,0.120805,0.026846,15.883679,6.0,0.504596,0.566667,0.055738,0.101493,0.162712,0.044068,17.31311,2.8
strict,10,videomae,selected,strict,1,True,low,0.562786,0.0,0.0,0.505618,8.149596,0.582524,1.19084,0.66,0.66,0.56,3,0.55561,0.56,0.184211,0.277228,0.364865,0.148649,13.946167,1.44,0.586515,0.507692,0.437086,0.469751,0.765101,0.42953,10.00989,1.061538
strict,10,effort_clip_l14,selected,strict,2,False,high,0.526608,0.0,0.0,0.207865,13.263308,0.307054,1.142857,0.99,0.99,0.89,3,0.522004,0.643564,0.427632,0.513834,0.891892,0.243243,9.809381,0.534653,0.519312,0.5,0.231788,0.316742,0.845638,0.234899,13.858549,0.942857
strict,10,f3net,selected,strict,3,False,high,0.505556,0.1,0.05,0.488764,7.746548,0.54375,1.901408,0.61,0.61,0.51,2,0.522004,0.595238,0.493421,0.539568,1.013514,0.344595,8.071321,1.857143,0.543891,0.616667,0.490066,0.546125,1.006711,0.308725,8.661341,1.5
strict,10,efficientnet_b4,selected,strict,4,False,low,0.543802,0.0,0.0,0.213483,13.348163,0.329004,1.584906,0.8,0.8,0.7,3,0.509957,0.447368,0.111842,0.178947,0.405405,0.141892,15.877798,1.578947,0.531624,0.651515,0.284768,0.396313,0.483221,0.154362,12.274512,1.272727
